lat,lon,probability
23.75,78.5,0.7622
23.75,78.75,0.7576
23.75,79.0,0.6774
23.75,79.25,0.7322
23.75,79.5,0.6266
23.75,79.75,0.7452
23.75,80.0,0.9748
23.75,80.25,0.9608
23.75,80.5,0.907
23.75,80.75,0.6861
23.75,81.0,0.9176
23.75,81.25,0.8305
23.75,81.5,0.3872
23.75,81.75,0.748
23.75,82.0,0.6992
23.75,82.25,0.8731
23.75,82.5,0.938
23.75,82.75,0.9023
23.75,83.0,0.9284
23.75,83.25,0.7386
23.75,83.5,0.9977
23.75,83.75,0.8324
